num_modes,sigma2,median,q25,q75,NMC
1,0.05,0.7983865669418658,0.7676341590941999,0.8107006209724287,5
1,0.1,0.6307384181242927,0.6057535217960828,0.6460416584271669,5
1,0.2,0.5150779917959205,0.4982807748907455,0.557052993850968,5
1,0.4,0.40500398345965793,0.38286458018004627,0.41665254316255596,5
1,0.8,0.30527211719020897,0.2991737305364362,0.34804802849381583,5
2,0.05,0.7549590503401771,0.7248917248537342,0.7713489214160061,5
2,0.1,0.6622489895485829,0.6595579622924572,0.6656414284662963,5
2,0.2,0.5277724610324122,0.5189687255843708,0.5307219848824704,5
2,0.4,0.6237347892367685,0.5976349335722555,0.6312309528088799,5
2,0.8,0.8934090284981562,0.8854123900444674,0.9020800673529692,5
3,0.05,0.7512737842033606,0.749958299029138,0.7586041119390602,5
3,0.1,0.6653534182463816,0.6619392574433101,0.6689185074801564,5
3,0.2,0.7743636356014977,0.7601753623907104,0.7982800806369978,5
3,0.4,0.9375559968679851,0.9316383603593495,0.9479035800539694,5
3,0.8,1.001448127595983,1.0007101599676453,1.004837246893937,5
4,0.05,0.8954804150612623,0.8863631222958717,0.9022383964472975,5
4,0.1,1.0271918531770767,1.0135235068433184,1.0281575283639623,5
4,0.2,1.0514883480572015,1.0445615936521002,1.0568139145927358,5
4,0.4,1.0885160448519016,1.0706630474635748,1.1028958596041,5
4,0.8,1.2783775373175268,1.1679362898295136,1.279200297171354,5
5,0.05,0.8551533943041527,0.8515602806141027,0.8657726472016992,5
5,0.1,0.9583317199770488,0.9486204654778407,0.9749804419053675,5
5,0.2,0.9983374338377835,0.9865227951288825,0.9995785904760445,5
5,0.4,1.0048831774380975,1.004522639979203,1.0053239616561858,5
5,0.8,1.002845898689135,1.0027694132976392,1.0045056515854103,5
