num_modes,sigma2,M_hat,rho_hat
1,0.05,5,0.001
1,0.05,3,0.1
1,0.05,6,0.1
1,0.05,4,0.1
1,0.05,6,0.1
1,0.1,6,0.001
1,0.1,6,0.1
1,0.1,6,0.1
1,0.1,3,0.001
1,0.1,6,0.1
1,0.2,5,0.001
1,0.2,6,0.001
1,0.2,5,0.001
1,0.2,4,0.001
1,0.2,5,0.001
1,0.4,4,0.1
1,0.4,5,0.01
1,0.4,4,0.01
1,0.4,4,0.001
1,0.4,3,0.1
1,0.8,4,0.001
1,0.8,2,0.001
1,0.8,3,0.001
1,0.8,5,0.001
1,0.8,3,0.001
2,0.05,6,0.001
2,0.05,6,0.1
2,0.05,5,0.1
2,0.05,6,0.1
2,0.05,4,0.1
2,0.1,6,0.001
2,0.1,6,0.001
2,0.1,6,0.1
2,0.1,6,0.001
2,0.1,6,0.1
2,0.2,4,0.1
2,0.2,4,0.001
2,0.2,4,0.1
2,0.2,4,0.1
2,0.2,4,0.001
2,0.4,2,0.1
2,0.4,2,0.001
2,0.4,2,0.1
2,0.4,3,0.1
2,0.4,2,0.1
2,0.8,2,0.001
2,0.8,2,0.001
2,0.8,2,0.001
2,0.8,2,0.001
2,0.8,4,0.001
3,0.05,6,0.001
3,0.05,5,0.1
3,0.05,6,0.1
3,0.05,4,0.1
3,0.05,5,0.1
3,0.1,5,0.1
3,0.1,6,0.1
3,0.1,6,0.1
3,0.1,3,0.1
3,0.1,6,0.1
3,0.2,3,0.001
3,0.2,4,0.001
3,0.2,3,0.001
3,0.2,6,0.001
3,0.2,5,0.001
3,0.4,3,0.001
3,0.4,3,0.001
3,0.4,3,0.001
3,0.4,3,0.001
3,0.4,3,0.001
3,0.8,2,0.001
3,0.8,2,0.001
3,0.8,2,0.001
3,0.8,3,0.001
3,0.8,2,0.001
4,0.05,6,0.1
4,0.05,4,0.1
4,0.05,6,0.1
4,0.05,4,0.1
4,0.05,5,0.1
4,0.1,2,0.001
4,0.1,2,0.001
4,0.1,2,0.001
4,0.1,2,0.001
4,0.1,6,0.01
4,0.2,2,0.001
4,0.2,2,0.001
4,0.2,2,0.001
4,0.2,2,0.001
4,0.2,2,0.001
4,0.4,2,0.001
4,0.4,2,0.001
4,0.4,2,0.001
4,0.4,2,0.001
4,0.4,2,0.001
4,0.8,2,0.001
4,0.8,2,0.001
4,0.8,2,0.001
4,0.8,2,0.001
4,0.8,2,0.001
5,0.05,6,0.001
5,0.05,5,0.001
5,0.05,5,0.001
5,0.05,6,0.001
5,0.05,6,0.1
5,0.1,6,0.001
5,0.1,5,0.001
5,0.1,2,0.001
5,0.1,6,0.001
5,0.1,5,0.001
5,0.2,5,0.001
5,0.2,2,0.001
5,0.2,5,0.001
5,0.2,2,0.001
5,0.2,5,0.001
5,0.4,2,0.001
5,0.4,3,0.001
5,0.4,3,0.001
5,0.4,6,0.001
5,0.4,2,0.001
5,0.8,3,0.001
5,0.8,2,0.001
5,0.8,2,0.001
5,0.8,2,0.001
5,0.8,2,0.001
